PROJECTS,MENTORS      ,NUMBER OF MENTORS,   MENTEES     ,PROJECT LINKS              ,PROJECT IMAGE LINK        ,PREREQUISITES        
TEXT SUMMARIZATION WEB APP," kundeshwar vijay pundalik , ADRESH ALAGADE ",2,20+,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project221.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item221.jpg,"BASIC PYTHON , (HTML OR STREAMLIT) , BASIC KNOWLEDGE OF NEURAL NETWORK, RNN"
Competitive Programming,Virendra Kabra,1,upto 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project292.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item222.jpg, CS101
Write yourself a Git!,Abhijeet Prasad Bodas,1,2 to 5,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/item223.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item223.png,"The project is specifically for beginners (read: freshie applications welcome!), and no background other than CS101 and a general interest in computers is expected."
File Compression System,Amritaansh Narain,1,upto 4,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project224.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item224.jpg,Assume you have basic understanding of C++ and are pretty comfortable at it. Make sure you are taking up the project under a complete consciousness cause the project might get heavy to handle. Consider me as a mentor to guide you along the way but not spoonfeed you for the same so you will be on your own for the most part. Feel free to contact me to clear up anything you want to know about the project before applying for it.
FAST-G," Ameya Vikram Singh , Prerak Contractor , Anish Yogesh Kulkarni ",3,upto 9,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project225.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item225.jpg,"No prereqs, except basic C++ programming, and enthusiasm of course! Knowing C++ OOP (Classes, Friends, Inheritance) will be good to have, though can be picked up easily."
Developing Trading Strategy with Pine Script," Vivek Kumar , Rajik Kumar ",2,6 to 8,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project226.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item226.png,enthusiastic for trading
Real time Driver Drowsiness detection System,Vedang Bale,1,8 to 10,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project227.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item227.jpg,Preferrable to know basic Python programming
The Image Cartoonifier," Jaideep Chandra , Sridhar , Bhavani Sankar ",3,10 to 15,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project228.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item228.png,Enthusiasm!
Speech to Speech Translation,Swapnoneel Kayal,1,3 to 4,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project229.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item229.png,rd prerequisites for the Mentees : 
Competitive Programming - Newbie to Master," Parth Dwivedi , Kunal Kundwani ",2,4 to 6,https://itc.gymkhana.iitb.ac.in//wncc/soc/projects/2023/project230.html,https://itc.gymkhana.iitb.ac.in//wncc/assets/images/soc/2023/item230.png,"ou would need a good grasp of CS101 concepts, and some hands on coding experience. Basic Fluency in at least one of the following :  C++ (preferred), Java or Python."
